id,station_code,station_category,zone_id,name,registration_code,address1,address2,postcode,state_id,phone_number,fax_number,email,date_established,district_id,area_size,norm,jadual_tugas,parliament_id,dun_id,latitude,longitude,chief_id,chief_name,remarks,deleted,created_by,updated_by,deleted_by,deleted_at,created_at,updated_at
3cc77715-e5f9-488f-b2f1-2be64cb9bd7f,BKJ,B,,BBP Bukit Jalil,BV0230,"Jalan Alam Sutera Utama,",,57000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-89966791,03-89968241,1govuc/bbp-bktjalil.bomba,,,,,,,,3.050767,101.66707,,,,false,,,,,2025-03-19T20:41:51.049Z,2025-03-19T20:41:51.049Z
c7669ca3-2042-40e4-9802-1d26fcb297a9,BTK,B,,BBP Bandar Tun Razak,BV0120,Jalan Yaakob Latif,,56000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-91312440,03-91321706,bbp_btr@bomba.gov.my,,,,,,,,3.089897,101.72187,,,,false,,,,,2025-03-19T20:41:51.046Z,2025-03-19T20:41:51.046Z
1d22c399-e43a-4053-84c4-a6daefe457a9,CRS,B,,BBP Cheras,BV0158,"Jalan Manis 1, Taman Segar,","Cheras,",56100,55c38deb-aae3-44c5-bfac-0bb919effec4,03-91329490,03-91300344,bbpcheras@gmail.com,,,,,,,,3.0900047,83.28719,,,,false,,,,,2025-03-19T20:41:51.052Z,2025-03-19T20:41:51.052Z
702b07ae-6490-4375-9547-08faeb34af51,GKS,B,,BBP Gombak Selatan,BV0154,"Jalan 2/10,",Taman Koperasi Polis Fasa 1,68100,55c38deb-aae3-44c5-bfac-0bb919effec4,03-61859639,03-61851344,bbp-gs.bomba@1govuc.gov.my,,,,,,,,3.223012,101.69562,,,,false,,,,,2025-03-19T20:41:51.054Z,2025-03-19T20:41:51.054Z
e795beb3-2cda-4ac4-b79d-7953221f1fb6,JHT,A,,BBP Jalan Hang Tuah,BV016,Jalan Hang Tuah,,55200,55c38deb-aae3-44c5-bfac-0bb919effec4,03-92217222,03-92226979,bombahangtuah@bomba.gov.my,,,,,,,,3.138055,101.70481,,,,false,,,,,2025-03-19T20:41:51.057Z,2025-03-19T20:41:51.057Z
c4a96c5b-759e-4542-a2be-651f4b0d596c,KLC,A,,BBP Jalan Tun Razak,BV0278,"Jalan Tun Razak,",,50400,55c38deb-aae3-44c5-bfac-0bb919effec4,03-21810140,03-21811485,bbpjtr@bomba.gov.my,,,,,,,,3.1635315,101.68136,,,,false,,,,,2025-03-19T20:41:51.059Z,2025-03-19T20:41:51.059Z
71c1504f-de79-4e58-a1c0-c047f2559dba,JJG,A,,BBP Jinjang,BV098,Jalan Jinjang Utara,,52000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-62574444,03-62500344,bbp_jinjang@bomba.gov.my,,,,,,,,3.209148,101.659935,,,,false,,,,,2025-03-19T20:41:51.062Z,2025-03-19T20:41:51.062Z
5e1f20af-7c8e-47aa-ba6a-312bf1f7884f,KMT,B,,BBP Keramat,BV0252,Jalan Jelatek,,54200,55c38deb-aae3-44c5-bfac-0bb919effec4,03-42514863,03-42514858,bbpkeramat@gmail.com,,,,,,,,3.164009,101.73451,,,,false,,,,,2025-03-19T20:41:51.064Z,2025-03-19T20:41:51.064Z
33248e50-4d99-4181-8af6-7f0ea96857de,MNJ,B,,BBP Manjalara,BV0337,"Balai Bomba dan Penyelamat Manjalara, Kuala Lumpur",Bandar Manjalara,52200,55c38deb-aae3-44c5-bfac-0bb919effec4,,,,,,,,,,,3.1949334,101.63016,,,,false,,,,,2025-03-19T20:41:51.066Z,2025-03-19T20:41:51.066Z
fd06ac43-a075-4fc6-a6c7-5782115ccf88,PTI,B,,BBP Pantai,BV099,Jalan Pantai Baru,,59200,55c38deb-aae3-44c5-bfac-0bb919effec4,03-22824444,03-22826344,bbp-pantai@bomba.gov.my,,,,,,,,3.116468,101.66999,,,,false,,,,,2025-03-19T20:41:51.069Z,2025-03-19T20:41:51.069Z
19f1ba01-b0cf-41dd-be15-bd3a2e1e3641,PDU,B,,BBP Pudu,BV024,"Balai Bomba Dan Penyelamat Pudu,","Jalan Pudu,",55100,55c38deb-aae3-44c5-bfac-0bb919effec4,03-92220336,03-92220341,bbp_pudu@bomba.gov.my,,,,,,,,3.133908,101.71345,,,,false,,,,,2025-03-19T20:41:51.071Z,2025-03-19T20:41:51.071Z
0c6f6313-b214-4bee-a255-ae3e2c0b3cd6,STL,A,,BBP Sentul,BV059,"Jalan Tun Ismail,Kuala Lumpur",,50480,55c38deb-aae3-44c5-bfac-0bb919effec4,340441994,034043 1344,bbpsentul@gmail.com,,,,,,,,3.17021,101.69187,,,,false,,,,,2025-03-19T20:41:51.074Z,2025-03-19T20:41:51.074Z
6fe1b739-156b-4517-8bd3-e7387dc81926,TMD,A,,BBP Seputeh,BV0161,Jalan Desa,,58100,55c38deb-aae3-44c5-bfac-0bb919effec4,03-79848753,03-79828444,bbp_tmndesa@bomba.gov.my,,,,,,,,3.21029,101.63477,,,,false,,,,,2025-03-19T20:41:51.076Z,2025-03-19T20:41:51.076Z
026f29ca-25ba-4893-8280-18f22012ae81,STK,B,,BBP Setapak,BV0107,"Jalan Air Jernih, Setapak,",,53200,55c38deb-aae3-44c5-bfac-0bb919effec4,03-40237096,03-40228444,bbp_setapak@bomba.gov.my,,,,,,,,3.193809,101.717445,,,,false,,,,,2025-03-19T20:41:51.079Z,2025-03-19T20:41:51.079Z
c9e72a1c-82b2-46c4-85a7-85b788dbafbc,SHM,A,,BBP Sri Hartamas,BV0209,Jln 23/70A Desa Sri Hartamas,,50480,55c38deb-aae3-44c5-bfac-0bb919effec4,03-62032071,03-62032498,oc_srihartamas@bombakl.gov.my,,,,,,,,3.162281,101.65079,,,,false,,,,,2025-03-19T20:41:51.082Z,2025-03-19T20:41:51.082Z
0d23fbe3-ff83-4b4f-b991-8a1bfab87a1e,SRP,B,,BBP Sri Petaling,BV0310,"Balai Bomba dan Penyelamat Sri Petaling, Jalan 14/149L,",Sri Petaling,57000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-90541687,03-90540405,bbpsripetaling2020@gmail.com,,,,,,,,3.071438,101.68168,,,,false,,,,,2025-03-19T20:41:51.085Z,2025-03-19T20:41:51.085Z
2681d8f6-9e94-49c6-a1dd-039284591aea,SBI,B,,BBP Sungai Besi,BV095,Balai Bomba Dan Penyelamat Sungai Besi,"Jalan Suasa 6,",57000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-90584444,03-90573344,bbpsgbesi@bomba.gov.my,,,,,,,,3.06464,101.71178,,,,false,,,,,2025-03-19T20:41:51.087Z,2025-03-19T20:41:51.087Z
55ad334f-c65e-433c-8cf5-9807c9ae6490,TDI,B,,BBP Taman Tun Dr Ismail,BV0121,Jalan Tun Mohd Fuad,Taman Tun Dr. Ismail,60000,55c38deb-aae3-44c5-bfac-0bb919effec4,03-77284444,03-77299444,bbp-ttdi@bomba.gov.my,,,,,,,,3.1397905,101.6252,,,,false,,,,,2025-03-19T20:41:51.090Z,2025-03-19T20:41:51.090Z
f786c466-32f5-49d6-ba00-3c3301d99190,CKT,B,,BBP Titiwangsa,BV0125,Jalan Haji Hussein,,50300,55c38deb-aae3-44c5-bfac-0bb919effec4,03-26913703,03-26984444,bombatitiwangsa@gmail.com,,,,,,,,3.166079,101.69895,,,,false,,,,,2025-03-19T20:41:51.092Z,2025-03-19T20:41:51.092Z
baa7e9e3-35e4-4cdd-8ce5-27e0515d58aa,WGM,B,,BBP Wangsa Maju,BV0221,Jalan Taman Melati 1,Setapak,53100,55c38deb-aae3-44c5-bfac-0bb919effec4,03-41073444,03-41089244,bbp_wm.bomba@gmail.com.my / bbpwm.bomba@gmail.com,,,,,,,,3.221302,101.725334,,,,false,,,,,2025-03-19T20:41:51.095Z,2025-03-19T20:41:51.095Z
